month,cpi,oil_nominal,gas_nominal,diesel_nominal
January 1974,0.4680000000,9.5900000000,,
February 1974,0.4730000000,12.4500000000,,
March 1974,0.4780000000,12.7300000000,,
April 1974,0.4810000000,12.7200000000,,
May 1974,0.4860000000,13.0200000000,,
June 1974,0.4900000000,13.0600000000,,
July 1974,0.4930000000,12.7500000000,,
August 1974,0.4990000000,12.6800000000,,
September 1974,0.5060000000,12.5300000000,,
October 1974,0.5100000000,12.4400000000,,
November 1974,0.5150000000,12.5300000000,,
December 1974,0.5190000000,12.8200000000,,
January 1975,0.5230000000,12.7700000000,,
February 1975,0.5260000000,13.0500000000,,
March 1975,0.5280000000,13.2800000000,,
April 1975,0.5300000000,13.2600000000,,
May 1975,0.5310000000,13.2700000000,,
June 1975,0.5350000000,14.1500000000,,
July 1975,0.5400000000,14.0300000000,,
August 1975,0.5420000000,14.2500000000,,
September 1975,0.5460000000,14.0400000000,,
October 1975,0.5490000000,14.6600000000,,
November 1975,0.5530000000,15.0400000000,,
December 1975,0.5560000000,14.8100000000,,
January 1976,0.5580000000,13.2700000000,0.6050000000,
February 1976,0.5590000000,13.2600000000,0.6000000000,
March 1976,0.5600000000,13.5100000000,0.5940000000,
April 1976,0.5610000000,13.3900000000,0.5920000000,
May 1976,0.5640000000,13.4100000000,0.6000000000,
June 1976,0.5670000000,13.4800000000,0.6160000000,
July 1976,0.5700000000,13.5100000000,0.6230000000,
August 1976,0.5730000000,13.5800000000,0.6280000000,
September 1976,0.5760000000,13.4700000000,0.6300000000,
October 1976,0.5790000000,13.4900000000,0.6290000000,
November 1976,0.5810000000,13.5800000000,0.6290000000,
December 1976,0.5840000000,13.7100000000,0.6260000000,
January 1977,0.5870000000,14.1100000000,0.6270000000,
February 1977,0.5930000000,14.5000000000,0.6370000000,
March 1977,0.5960000000,14.5400000000,0.6430000000,
April 1977,0.6000000000,14.3600000000,0.6510000000,
May 1977,0.6020000000,14.6200000000,0.6590000000,
June 1977,0.6050000000,14.6300000000,0.6650000000,
July 1977,0.6080000000,14.4400000000,0.6670000000,
August 1977,0.6110000000,14.6800000000,0.6670000000,
September 1977,0.6130000000,14.5000000000,0.6660000000,
October 1977,0.6160000000,14.5600000000,0.6650000000,
November 1977,0.6200000000,14.6100000000,0.6640000000,
December 1977,0.6230000000,14.7600000000,0.6650000000,
January 1978,0.6270000000,14.5200000000,0.6480000000,
February 1978,0.6300000000,14.4100000000,0.6470000000,
March 1978,0.6340000000,14.5700000000,0.6470000000,
April 1978,0.6390000000,14.4000000000,0.6490000000,
May 1978,0.6450000000,14.5100000000,0.6550000000,
June 1978,0.6500000000,14.5400000000,0.6630000000,
July 1978,0.6550000000,14.4900000000,0.6740000000,
August 1978,0.6590000000,14.4600000000,0.6820000000,
September 1978,0.6650000000,14.5300000000,0.6880000000,
October 1978,0.6710000000,14.6300000000,0.6900000000,
November 1978,0.6750000000,14.7400000000,0.6950000000,
December 1978,0.6790000000,14.9400000000,0.7050000000,
January 1979,0.6850000000,15.5000000000,0.7160000000,0.6050000000
February 1979,0.6920000000,15.8800000000,0.7300000000,0.6300000000
March 1979,0.6990000000,16.4100000000,0.7550000000,0.6480000000
April 1979,0.7060000000,17.5800000000,0.8020000000,0.6750000000
May 1979,0.7140000000,19.0000000000,0.8440000000,0.7310000000
June 1979,0.7220000000,21.0300000000,0.9010000000,0.8180000000
July 1979,0.7300000000,23.0900000000,0.9490000000,0.8560000000
August 1979,0.7370000000,23.9800000000,0.9880000000,0.8900000000
September 1979,0.7440000000,25.0600000000,1.0200000000,0.8950000000
October 1979,0.7520000000,25.0500000000,1.0280000000,0.9190000000
November 1979,0.7600000000,27.0200000000,1.0410000000,0.9350000000
December 1979,0.7690000000,28.9100000000,1.0650000000,0.9830000000
January 1980,0.7800000000,30.7500000000,1.1310000000,0.9970000000
February 1980,0.7900000000,32.4000000000,1.2070000000,1.0190000000
March 1980,0.8010000000,33.4200000000,1.2520000000,1.0470000000
April 1980,0.8090000000,33.5400000000,1.2640000000,1.0490000000
May 1980,0.8170000000,34.3300000000,1.2660000000,1.0480000000
June 1980,0.8250000000,34.4800000000,1.2690000000,1.0540000000
July 1980,0.8260000000,34.5100000000,1.2710000000,1.0430000000
August 1980,0.8320000000,34.4400000000,1.2670000000,1.0380000000
September 1980,0.8390000000,34.4600000000,1.2570000000,1.0410000000
October 1980,0.8470000000,34.6300000000,1.2500000000,1.0300000000
November 1980,0.8560000000,35.0900000000,1.2500000000,1.0630000000
December 1980,0.8640000000,35.6300000000,1.2580000000,1.1000000000
January 1981,0.8720000000,38.8500000000,1.2980000000,1.1440000000
February 1981,0.8800000000,39.0000000000,1.3820000000,1.1900000000
March 1981,0.8860000000,38.3100000000,1.4170000000,1.2170000000
April 1981,0.8910000000,38.4100000000,1.4120000000,1.2060000000
May 1981,0.8970000000,37.8400000000,1.4000000000,1.1980000000
June 1981,0.9050000000,37.0300000000,1.3910000000,1.1940000000
July 1981,0.9150000000,36.5800000000,1.3820000000,1.1650000000
August 1981,0.9220000000,35.8200000000,1.3760000000,1.1880000000
September 1981,0.9310000000,35.4400000000,1.3760000000,1.1830000000
October 1981,0.9340000000,35.4300000000,1.3710000000,1.1840000000
November 1981,0.9380000000,36.2100000000,1.3690000000,1.1860000000
December 1981,0.9410000000,35.9500000000,1.3650000000,1.1950000000
January 1982,0.9440000000,35.5400000000,1.3125600000,1.1960000000
February 1982,0.9470000000,35.4800000000,1.2909800000,1.1690000000
March 1982,0.9470000000,34.0700000000,1.2479700000,1.1170000000
April 1982,0.9500000000,32.8200000000,1.1973200000,1.0980000000
May 1982,0.9590000000,32.7800000000,1.2080900000,1.1140000000
June 1982,0.9700000000,33.7900000000,1.2765600000,1.1650000000
July 1982,0.9750000000,33.4400000000,1.2959300000,1.1550000000
August 1982,0.9770000000,32.9500000000,1.2895700000,1.1390000000
September 1982,0.9770000000,33.0300000000,1.2700200000,1.1500000000
October 1982,0.9810000000,33.2800000000,1.2575900000,1.1690000000
November 1982,0.9800000000,33.0900000000,1.2421500000,1.1960000000
December 1982,0.9770000000,32.8500000000,1.2135300000,1.1530000000
January 1983,0.9790000000,31.4000000000,1.1848000000,1.1250000000
February 1983,0.9800000000,30.7600000000,1.1442600000,1.1050000000
March 1983,0.9810000000,28.4300000000,1.1162200000,1.0630000000
April 1983,0.9880000000,27.9500000000,1.1873400000,1.1600000000
May 1983,0.9920000000,28.5300000000,1.2300500000,1.1470000000
June 1983,0.9940000000,29.2300000000,1.2446200000,1.1540000000
July 1983,0.9980000000,28.7600000000,1.2530200000,1.1440000000
August 1983,1.0010000000,29.5000000000,1.2516500000,1.1500000000
September 1983,1.0040000000,29.5400000000,1.2370800000,1.1560000000
October 1983,1.0080000000,29.6700000000,1.2176700000,1.1470000000
November 1983,1.0110000000,29.0900000000,1.2002300000,1.1460000000
December 1983,1.0140000000,29.3000000000,1.1845800000,1.1380000000
January 1984,1.0210000000,28.8000000000,1.1713400000,1.1730000000
February 1984,1.0260000000,28.9100000000,1.1667200000,1.1700000000
March 1984,1.0290000000,28.9500000000,1.1737200000,1.1430000000
April 1984,1.0330000000,29.1100000000,1.1992700000,1.1410000000
May 1984,1.0350000000,29.2600000000,1.2071100000,1.1420000000
June 1984,1.0370000000,29.1900000000,1.1967500000,1.1380000000
July 1984,1.0410000000,29.0000000000,1.1772700000,1.1310000000
August 1984,1.0440000000,28.9200000000,1.1629100000,1.1860000000
September 1984,1.0470000000,28.7000000000,1.1663800000,1.1910000000
October 1984,1.0510000000,28.7900000000,1.1720200000,1.1850000000
November 1984,1.0530000000,28.7400000000,1.1665700000,1.1810000000
December 1984,1.0550000000,28.0200000000,1.1469500000,1.1760000000
January 1985,1.0570000000,27.4900000000,1.1031000000,1.1680000000
February 1985,1.0630000000,26.9900000000,1.0884400000,1.1480000000
March 1985,1.0680000000,27.2000000000,1.1225400000,1.1450000000
April 1985,1.0700000000,27.5900000000,1.1771900000,1.1630000000
May 1985,1.0720000000,27.6000000000,1.2020900000,1.1670000000
June 1985,1.0750000000,27.2500000000,1.2087900000,1.1520000000
July 1985,1.0770000000,26.5700000000,1.2073800000,1.1370000000
